policy,state,violations,invalid,total_loss_kwh,peak_import_kw,min_voltage_pu,max_loading
baseline,COMPLETED_INFEASIBLE,6,0,7.597754742020758,91.21185019320413,0.9862086149428978,1.045543207850872
tap_m2,COMPLETED_INFEASIBLE,6,0,7.793473994174889,91.23792246691802,0.9735293693297857,1.059103951082682
tap_p2,COMPLETED_INFEASIBLE,4,0,7.4093441932541095,91.18676886671186,0.9988832613513277,1.0323293902911428
tap_p4,COMPLETED_INFEASIBLE,4,0,7.227881528483266,91.16262851514738,1.011553485469669,1.0194492031977853
storage_0,COMPLETED_INFEASIBLE,4,0,8.144290918190595,89.36373469047005,0.9868729256068808,1.025578518774492
storage_1,COMPLETED_INFEASIBLE,4,0,8.129620700236417,89.36373469047005,0.9868729256068808,1.025578518774492
storage_2,COMPLETED_INFEASIBLE,2,0,8.711961516376144,87.51811729310077,0.9870722242191722,1.00566764827622
storage_3,COMPLETED_INFEASIBLE,2,0,8.682564293203091,87.51811729310077,0.9870722242191722,1.00566764827622
storage_4,COMPLETED_VALID,0,0,9.910738241519478,83.83433641656191,0.9872962913181771,0.9660130459627737
storage_5,COMPLETED_VALID,0,0,9.851714996925374,83.83433641656191,0.9872962913181771,0.9660130459627737
storage_6,COMPLETED_INFEASIBLE,19,0,11.194155889872096,80.16042748425943,0.9875195612465298,0.9265920233285617
storage_7,COMPLETED_INFEASIBLE,15,0,11.105274483750627,80.16042748425943,0.9875195612465298,0.9265920233285617
